67,3.60,C.E. - SEMINARIO TALLER EN ASEO GENERAL Y MANEJO DE SUSTANCIAS QUIMICAS,60,71,4,1
68,3.61,C.E. - INGLES INTERMEDIO,66,73,4,1
69,4.01,C.E. - ADMINISTRACION CON ENFASIS EN CONTABILIDAD,70,71,5,1
70,4.02,C.E. - OFICINA Y ARCHIVO,70,71,5,1
71,4.03,C.E. - MERCADEO, VENTAS Y PUBLICIDAD,70,72,5,1
72,4.04,C.E. - PREPARACION Y SERVICIO DE PRODUCTOS ALIMENTICIOS,70,71,5,1
73,4.05,C.E. - HERRAMIENTAS OFIMATICAS,70,72,5,1
74,4.06,C.E. - DISEÑO, CORTE Y CONFECCION  ,70,71,5,1
75,4.07,C.E. - ELECTRICIDAD Y ELECTRONICA RESIDENCIAL,70,71,5,1
76,4.08,C.E. - MECANICA AUTOMOTRIZ,70,71,5,1
77,4.09,C.E. - MECANICA DE MOTOS,70,71,5,1
78,5.01,C.E. - EMPRENDIMIENTO,70,72,6,1
79,6.01,B.C - BACHILLERATO POR CICLOS,,,7,1
80,7.01,T.L. - TECNICOS LABORALES,128,71,8,1
81,N.A.,N.A.,86,73,9,1
82,N.A.,N.A.,86,73,9,1
